has_hangul_pdf	versions	page_count_match	render_self_pass	cheap_ok	expected_verdict_class
0	unparsed	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unparsed	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unparsed	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unparsed	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unparsed	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unparsed	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	unparsed	0	0	0	ORACLE_UNVERSIONED
1	unparsed	0	0	1	ORACLE_UNVERSIONED
1	unparsed	0	1	0	ORACLE_UNVERSIONED
1	unparsed	0	1	1	ORACLE_UNVERSIONED
1	unparsed	1	0	0	ORACLE_UNVERSIONED
1	unparsed	1	0	1	ORACLE_UNVERSIONED
1	unparsed	1	1	0	ORACLE_UNVERSIONED
1	unparsed	1	1	1	ORACLE_UNVERSIONED
0	unversioned	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unversioned	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unversioned	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unversioned	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unversioned	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unversioned	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unversioned	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unversioned	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	unversioned	0	0	0	ORACLE_UNVERSIONED
1	unversioned	0	0	1	ORACLE_UNVERSIONED
1	unversioned	0	1	0	ORACLE_UNVERSIONED
1	unversioned	0	1	1	ORACLE_UNVERSIONED
1	unversioned	1	0	0	ORACLE_UNVERSIONED
1	unversioned	1	0	1	ORACLE_UNVERSIONED
1	unversioned	1	1	0	ORACLE_UNVERSIONED
1	unversioned	1	1	1	ORACLE_UNVERSIONED
0	?	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	?	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	?	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	?	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	?	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	?	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	?	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	?	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	?	0	0	0	ORACLE_UNVERSIONED
1	?	0	0	1	ORACLE_UNVERSIONED
1	?	0	1	0	ORACLE_UNVERSIONED
1	?	0	1	1	ORACLE_UNVERSIONED
1	?	1	0	0	ORACLE_UNVERSIONED
1	?	1	0	1	ORACLE_UNVERSIONED
1	?	1	1	0	ORACLE_UNVERSIONED
1	?	1	1	1	ORACLE_UNVERSIONED
0	2016	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2016	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2016	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2016	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2016	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2016	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2016	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2016	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2016	0	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2016	0	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2016	0	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2016	0	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2016	1	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2016	1	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2016	1	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2016	1	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
0	2025	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2025	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2025	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2025	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2025	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2025	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2025	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2025	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2025	0	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2025	0	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2025	0	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2025	0	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2025	1	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2025	1	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2025	1	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2025	1	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
0	2026	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2026	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2026	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2026	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2026	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2026	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2026	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2026	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2026	0	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2026	0	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2026	0	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2026	0	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2026	1	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2026	1	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2026	1	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2026	1	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
0	1998	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	1998	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	1998	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	1998	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	1998	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	1998	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	1998	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	1998	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	1998	0	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	1998	0	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	1998	0	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	1998	0	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	1998	1	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	1998	1	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	1998	1	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	1998	1	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
0	hancom-next	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	hancom-next	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	hancom-next	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	hancom-next	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	hancom-next	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	hancom-next	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	hancom-next	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	hancom-next	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	hancom-next	0	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	hancom-next	0	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	hancom-next	0	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	hancom-next	0	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	hancom-next	1	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	hancom-next	1	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	hancom-next	1	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	hancom-next	1	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
0	office2019	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	office2019	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	office2019	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	office2019	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	office2019	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	office2019	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	office2019	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	office2019	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	office2019	0	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	office2019	0	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	office2019	0	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	office2019	0	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	office2019	1	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	office2019	1	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	office2019	1	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	office2019	1	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
0	2018+2025	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018+2025	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018+2025	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018+2025	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018+2025	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018+2025	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018+2025	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018+2025	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2018+2025	0	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2018+2025	0	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2018+2025	0	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2018+2025	0	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2018+2025	1	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2018+2025	1	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2018+2025	1	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2018+2025	1	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
0	2020!2030	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020!2030	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020!2030	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020!2030	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020!2030	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020!2030	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020!2030	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020!2030	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2020!2030	0	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2020!2030	0	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2020!2030	0	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2020!2030	0	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2020!2030	1	0	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2020!2030	1	0	1	ORACLE_YEAR_OUT_OF_CONTRACT
1	2020!2030	1	1	0	ORACLE_YEAR_OUT_OF_CONTRACT
1	2020!2030	1	1	1	ORACLE_YEAR_OUT_OF_CONTRACT
0	2010	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2010	0	0	0	ORACLE_PAGECOUNT_MISMATCH
1	2010	0	0	1	ORACLE_PAGECOUNT_MISMATCH
1	2010	0	1	0	ORACLE_PAGECOUNT_MISMATCH
1	2010	0	1	1	ORACLE_PAGECOUNT_MISMATCH
1	2010	1	0	0	ORACLE_CHEAP_FAIL
1	2010	1	0	1	ORACLE_BLOCKED_BY_SELF
1	2010	1	1	0	ORACLE_CHEAP_FAIL
1	2010	1	1	1	ORACLE_TRUSTED
0	2018	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2018	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2018	0	0	0	ORACLE_PAGECOUNT_MISMATCH
1	2018	0	0	1	ORACLE_PAGECOUNT_MISMATCH
1	2018	0	1	0	ORACLE_PAGECOUNT_MISMATCH
1	2018	0	1	1	ORACLE_PAGECOUNT_MISMATCH
1	2018	1	0	0	ORACLE_CHEAP_FAIL
1	2018	1	0	1	ORACLE_BLOCKED_BY_SELF
1	2018	1	1	0	ORACLE_CHEAP_FAIL
1	2018	1	1	1	ORACLE_TRUSTED
0	2020	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2020	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2020	0	0	0	ORACLE_PAGECOUNT_MISMATCH
1	2020	0	0	1	ORACLE_PAGECOUNT_MISMATCH
1	2020	0	1	0	ORACLE_PAGECOUNT_MISMATCH
1	2020	0	1	1	ORACLE_PAGECOUNT_MISMATCH
1	2020	1	0	0	ORACLE_CHEAP_FAIL
1	2020	1	0	1	ORACLE_BLOCKED_BY_SELF
1	2020	1	1	0	ORACLE_CHEAP_FAIL
1	2020	1	1	1	ORACLE_TRUSTED
0	2022	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2022	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2022	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2022	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2022	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2022	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2022	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2022	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2022	0	0	0	ORACLE_PAGECOUNT_MISMATCH
1	2022	0	0	1	ORACLE_PAGECOUNT_MISMATCH
1	2022	0	1	0	ORACLE_PAGECOUNT_MISMATCH
1	2022	0	1	1	ORACLE_PAGECOUNT_MISMATCH
1	2022	1	0	0	ORACLE_CHEAP_FAIL
1	2022	1	0	1	ORACLE_BLOCKED_BY_SELF
1	2022	1	1	0	ORACLE_CHEAP_FAIL
1	2022	1	1	1	ORACLE_TRUSTED
0	2024	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2024	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2024	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2024	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2024	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2024	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2024	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2024	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2024	0	0	0	ORACLE_PAGECOUNT_MISMATCH
1	2024	0	0	1	ORACLE_PAGECOUNT_MISMATCH
1	2024	0	1	0	ORACLE_PAGECOUNT_MISMATCH
1	2024	0	1	1	ORACLE_PAGECOUNT_MISMATCH
1	2024	1	0	0	ORACLE_CHEAP_FAIL
1	2024	1	0	1	ORACLE_BLOCKED_BY_SELF
1	2024	1	1	0	ORACLE_CHEAP_FAIL
1	2024	1	1	1	ORACLE_TRUSTED
0	2010+2018	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2018	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2018	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2018	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2018	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2018	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2018	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2018	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2010+2018	0	0	0	ORACLE_PAGECOUNT_MISMATCH
1	2010+2018	0	0	1	ORACLE_PAGECOUNT_MISMATCH
1	2010+2018	0	1	0	ORACLE_PAGECOUNT_MISMATCH
1	2010+2018	0	1	1	ORACLE_PAGECOUNT_MISMATCH
1	2010+2018	1	0	0	ORACLE_CHEAP_FAIL
1	2010+2018	1	0	1	ORACLE_BLOCKED_BY_SELF
1	2010+2018	1	1	0	ORACLE_CHEAP_FAIL
1	2010+2018	1	1	1	ORACLE_TRUSTED
0	2010+2020	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2020	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2020	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2020	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2020	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2020	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2020	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2020	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2010+2020	0	0	0	ORACLE_PAGECOUNT_MISMATCH
1	2010+2020	0	0	1	ORACLE_PAGECOUNT_MISMATCH
1	2010+2020	0	1	0	ORACLE_PAGECOUNT_MISMATCH
1	2010+2020	0	1	1	ORACLE_PAGECOUNT_MISMATCH
1	2010+2020	1	0	0	ORACLE_CHEAP_FAIL
1	2010+2020	1	0	1	ORACLE_BLOCKED_BY_SELF
1	2010+2020	1	1	0	ORACLE_CHEAP_FAIL
1	2010+2020	1	1	1	ORACLE_TRUSTED
0	2010+2022	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2022	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2022	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2022	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2022	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2022	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2022	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2022	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	2010+2022	0	0	0	ORACLE_PAGECOUNT_MISMATCH
1	2010+2022	0	0	1	ORACLE_PAGECOUNT_MISMATCH
1	2010+2022	0	1	0	ORACLE_PAGECOUNT_MISMATCH
1	2010+2022	0	1	1	ORACLE_PAGECOUNT_MISMATCH
1	2010+2022	1	0	0	ORACLE_CHEAP_FAIL
1	2010+2022	1	0	1	ORACLE_BLOCKED_BY_SELF
1	2010+2022	1	1	0	ORACLE_CHEAP_FAIL
1	2010+2022	1	1	1	ORACLE_TRUSTED
0	2010+2024	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2024	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2024	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2024	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2024	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	2010+2024	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
