slot	leaked_into_criteria	nonce_kind	source_label_kind	wrap_state	expected_block
authorization	0	collision	document_title	nonce_collision	1
authorization	0	reused	caller_path	reused_nonce	1
authorization	0	reused	handle	reused_nonce	1
authorization	0	reused	document_title	reused_nonce	1
authorization	1	fresh	caller_path	unmarked	1
authorization	1	fresh	handle	unmarked	1
authorization	1	fresh	document_title	unmarked	1
authorization	1	empty	caller_path	unmarked	1
authorization	1	empty	handle	unmarked	1
authorization	1	empty	document_title	unmarked	1
authorization	1	static	caller_path	static_marker	1
authorization	1	static	handle	static_marker	1
authorization	1	static	document_title	static_marker	1
authorization	1	collision	caller_path	nonce_collision	1
authorization	1	collision	handle	nonce_collision	1
authorization	1	collision	document_title	nonce_collision	1
authorization	1	reused	caller_path	reused_nonce	1
authorization	1	reused	handle	reused_nonce	1
authorization	1	reused	document_title	reused_nonce	1
user_display	0	fresh	caller_path	unmarked	0
user_display	0	fresh	handle	unmarked	0
user_display	0	fresh	document_title	unmarked	0
user_display	0	empty	caller_path	unmarked	0
user_display	0	empty	handle	unmarked	0
user_display	0	empty	document_title	unmarked	0
user_display	0	static	caller_path	static_marker	0
user_display	0	static	handle	static_marker	0
user_display	0	static	document_title	static_marker	0
user_display	0	collision	caller_path	nonce_collision	0
user_display	0	collision	handle	nonce_collision	0
user_display	0	collision	document_title	nonce_collision	0
user_display	0	reused	caller_path	reused_nonce	0
user_display	0	reused	handle	reused_nonce	0
user_display	0	reused	document_title	reused_nonce	0
user_display	1	fresh	caller_path	unmarked	1
user_display	1	fresh	handle	unmarked	1
user_display	1	fresh	document_title	unmarked	1
user_display	1	empty	caller_path	unmarked	1
user_display	1	empty	handle	unmarked	1
user_display	1	empty	document_title	unmarked	1
user_display	1	static	caller_path	static_marker	1
user_display	1	static	handle	static_marker	1
user_display	1	static	document_title	static_marker	1
user_display	1	collision	caller_path	nonce_collision	1
user_display	1	collision	handle	nonce_collision	1
user_display	1	collision	document_title	nonce_collision	1
user_display	1	reused	caller_path	reused_nonce	1
user_display	1	reused	handle	reused_nonce	1
user_display	1	reused	document_title	reused_nonce	1
llm_data_block	0	fresh	caller_path	wrapped_ok	0
llm_data_block	0	fresh	handle	wrapped_ok	0
llm_data_block	0	fresh	document_title	source_label_title	1
llm_data_block	0	empty	caller_path	missing_boundary	1
llm_data_block	0	empty	handle	missing_boundary	1
llm_data_block	0	empty	document_title	missing_boundary	1
llm_data_block	0	static	caller_path	static_marker	1
llm_data_block	0	static	handle	static_marker	1
llm_data_block	0	static	document_title	static_marker	1
llm_data_block	0	collision	caller_path	nonce_collision	1
llm_data_block	0	collision	handle	nonce_collision	1
llm_data_block	0	collision	document_title	nonce_collision	1
llm_data_block	0	reused	caller_path	reused_nonce	1
llm_data_block	0	reused	handle	reused_nonce	1
llm_data_block	0	reused	document_title	reused_nonce	1
llm_data_block	1	fresh	caller_path	wrapped_ok	1
llm_data_block	1	fresh	handle	wrapped_ok	1
llm_data_block	1	fresh	document_title	source_label_title	1
llm_data_block	1	empty	caller_path	missing_boundary	1
llm_data_block	1	empty	handle	missing_boundary	1
llm_data_block	1	empty	document_title	missing_boundary	1
llm_data_block	1	static	caller_path	static_marker	1
llm_data_block	1	static	handle	static_marker	1
llm_data_block	1	static	document_title	static_marker	1
llm_data_block	1	collision	caller_path	nonce_collision	1
llm_data_block	1	collision	handle	nonce_collision	1
llm_data_block	1	collision	document_title	nonce_collision	1
llm_data_block	1	reused	caller_path	reused_nonce	1
llm_data_block	1	reused	handle	reused_nonce	1
llm_data_block	1	reused	document_title	reused_nonce	1
