check_a	check_b	a_pass	b_pass	expected_joint	expected_verdict_class
fill-verify	verify-pages	0	0	0	JOINT_BOTH_FAIL
fill-verify	layout-anomaly	1	1	1	JOINT_PASS
fill-verify	layout-anomaly	1	0	0	SHADOW_A_ONLY
fill-verify	layout-anomaly	0	1	0	SHADOW_B_ONLY
fill-verify	layout-anomaly	0	0	0	JOINT_BOTH_FAIL
fill-verify	render-diff	1	1	1	JOINT_PASS
fill-verify	render-diff	1	0	0	SHADOW_A_ONLY
fill-verify	render-diff	0	1	0	SHADOW_B_ONLY
fill-verify	render-diff	0	0	0	JOINT_BOTH_FAIL
fill-verify	dump-pages	1	1	1	JOINT_PASS
fill-verify	dump-pages	1	0	0	SHADOW_A_ONLY
fill-verify	dump-pages	0	1	0	SHADOW_B_ONLY
fill-verify	dump-pages	0	0	0	JOINT_BOTH_FAIL
fill-verify	info	1	1	1	JOINT_PASS
fill-verify	info	1	0	0	SHADOW_A_ONLY
fill-verify	info	0	1	0	SHADOW_B_ONLY
fill-verify	info	0	0	0	JOINT_BOTH_FAIL
fill-verify	inspect-hidden	1	1	1	JOINT_PASS
fill-verify	inspect-hidden	1	0	0	SHADOW_A_ONLY
fill-verify	inspect-hidden	0	1	0	SHADOW_B_ONLY
fill-verify	inspect-hidden	0	0	0	JOINT_BOTH_FAIL
fill-verify	inspect-injection	1	1	1	JOINT_PASS
fill-verify	inspect-injection	1	0	0	SHADOW_A_ONLY
fill-verify	inspect-injection	0	1	0	SHADOW_B_ONLY
fill-verify	inspect-injection	0	0	0	JOINT_BOTH_FAIL
fill-verify	inspect-unicode	1	1	1	JOINT_PASS
fill-verify	inspect-unicode	1	0	0	SHADOW_A_ONLY
fill-verify	inspect-unicode	0	1	0	SHADOW_B_ONLY
fill-verify	inspect-unicode	0	0	0	JOINT_BOTH_FAIL
fill-verify	inspect-watermark	1	1	1	JOINT_PASS
fill-verify	inspect-watermark	1	0	0	SHADOW_A_ONLY
fill-verify	inspect-watermark	0	1	0	SHADOW_B_ONLY
fill-verify	inspect-watermark	0	0	0	JOINT_BOTH_FAIL
fill-verify	replay	1	1	1	JOINT_PASS
fill-verify	replay	1	0	0	SHADOW_A_ONLY
fill-verify	replay	0	1	0	SHADOW_B_ONLY
fill-verify	replay	0	0	0	JOINT_BOTH_FAIL
fill-verify	audit	1	1	1	JOINT_PASS
fill-verify	audit	1	0	0	SHADOW_A_ONLY
fill-verify	audit	0	1	0	SHADOW_B_ONLY
fill-verify	audit	0	0	0	JOINT_BOTH_FAIL
fill-verify	lineage	1	1	1	JOINT_PASS
fill-verify	lineage	1	0	0	SHADOW_A_ONLY
fill-verify	lineage	0	1	0	SHADOW_B_ONLY
fill-verify	lineage	0	0	0	JOINT_BOTH_FAIL
fill-verify	csv-to-table-verify	1	1	1	JOINT_PASS
fill-verify	csv-to-table-verify	1	0	0	SHADOW_A_ONLY
fill-verify	csv-to-table-verify	0	1	0	SHADOW_B_ONLY
fill-verify	csv-to-table-verify	0	0	0	JOINT_BOTH_FAIL
fill-verify	sanitize-verify	1	1	1	JOINT_PASS
fill-verify	sanitize-verify	1	0	0	SHADOW_A_ONLY
fill-verify	sanitize-verify	0	1	0	SHADOW_B_ONLY
fill-verify	sanitize-verify	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	ir-diff	1	1	1	JOINT_PASS
layout-anomaly	ir-diff	1	0	0	SHADOW_A_ONLY
layout-anomaly	ir-diff	0	1	0	SHADOW_B_ONLY
layout-anomaly	ir-diff	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	verify-pages	1	1	1	JOINT_PASS
layout-anomaly	verify-pages	1	0	0	SHADOW_A_ONLY
layout-anomaly	verify-pages	0	1	0	SHADOW_B_ONLY
layout-anomaly	verify-pages	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	fill-verify	1	1	1	JOINT_PASS
layout-anomaly	fill-verify	1	0	0	SHADOW_A_ONLY
layout-anomaly	fill-verify	0	1	0	SHADOW_B_ONLY
layout-anomaly	fill-verify	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	render-diff	1	1	1	JOINT_PASS
layout-anomaly	render-diff	1	0	0	SHADOW_A_ONLY
layout-anomaly	render-diff	0	1	0	SHADOW_B_ONLY
layout-anomaly	render-diff	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	dump-pages	1	1	1	JOINT_PASS
layout-anomaly	dump-pages	1	0	0	SHADOW_A_ONLY
layout-anomaly	dump-pages	0	1	0	SHADOW_B_ONLY
layout-anomaly	dump-pages	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	info	1	1	1	JOINT_PASS
layout-anomaly	info	1	0	0	SHADOW_A_ONLY
layout-anomaly	info	0	1	0	SHADOW_B_ONLY
layout-anomaly	info	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	inspect-hidden	1	1	1	JOINT_PASS
layout-anomaly	inspect-hidden	1	0	0	SHADOW_A_ONLY
layout-anomaly	inspect-hidden	0	1	0	SHADOW_B_ONLY
layout-anomaly	inspect-hidden	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	inspect-injection	1	1	1	JOINT_PASS
layout-anomaly	inspect-injection	1	0	0	SHADOW_A_ONLY
layout-anomaly	inspect-injection	0	1	0	SHADOW_B_ONLY
layout-anomaly	inspect-injection	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	inspect-unicode	1	1	1	JOINT_PASS
layout-anomaly	inspect-unicode	1	0	0	SHADOW_A_ONLY
layout-anomaly	inspect-unicode	0	1	0	SHADOW_B_ONLY
layout-anomaly	inspect-unicode	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	inspect-watermark	1	1	1	JOINT_PASS
layout-anomaly	inspect-watermark	1	0	0	SHADOW_A_ONLY
layout-anomaly	inspect-watermark	0	1	0	SHADOW_B_ONLY
layout-anomaly	inspect-watermark	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	replay	1	1	1	JOINT_PASS
layout-anomaly	replay	1	0	0	SHADOW_A_ONLY
layout-anomaly	replay	0	1	0	SHADOW_B_ONLY
layout-anomaly	replay	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	audit	1	1	1	JOINT_PASS
layout-anomaly	audit	1	0	0	SHADOW_A_ONLY
layout-anomaly	audit	0	1	0	SHADOW_B_ONLY
layout-anomaly	audit	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	lineage	1	1	1	JOINT_PASS
layout-anomaly	lineage	1	0	0	SHADOW_A_ONLY
layout-anomaly	lineage	0	1	0	SHADOW_B_ONLY
layout-anomaly	lineage	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	csv-to-table-verify	1	1	1	JOINT_PASS
layout-anomaly	csv-to-table-verify	1	0	0	SHADOW_A_ONLY
layout-anomaly	csv-to-table-verify	0	1	0	SHADOW_B_ONLY
layout-anomaly	csv-to-table-verify	0	0	0	JOINT_BOTH_FAIL
layout-anomaly	sanitize-verify	1	1	1	JOINT_PASS
layout-anomaly	sanitize-verify	1	0	0	SHADOW_A_ONLY
layout-anomaly	sanitize-verify	0	1	0	SHADOW_B_ONLY
layout-anomaly	sanitize-verify	0	0	0	JOINT_BOTH_FAIL
render-diff	ir-diff	1	1	1	JOINT_PASS
render-diff	ir-diff	1	0	0	SHADOW_A_ONLY
render-diff	ir-diff	0	1	0	SHADOW_B_ONLY
render-diff	ir-diff	0	0	0	JOINT_BOTH_FAIL
render-diff	verify-pages	1	1	1	JOINT_PASS
render-diff	verify-pages	1	0	0	SHADOW_A_ONLY
render-diff	verify-pages	0	1	0	SHADOW_B_ONLY
render-diff	verify-pages	0	0	0	JOINT_BOTH_FAIL
render-diff	fill-verify	1	1	1	JOINT_PASS
render-diff	fill-verify	1	0	0	SHADOW_A_ONLY
render-diff	fill-verify	0	1	0	SHADOW_B_ONLY
render-diff	fill-verify	0	0	0	JOINT_BOTH_FAIL
render-diff	layout-anomaly	1	1	1	JOINT_PASS
render-diff	layout-anomaly	1	0	0	SHADOW_A_ONLY
render-diff	layout-anomaly	0	1	0	SHADOW_B_ONLY
render-diff	layout-anomaly	0	0	0	JOINT_BOTH_FAIL
render-diff	dump-pages	1	1	1	JOINT_PASS
render-diff	dump-pages	1	0	0	SHADOW_A_ONLY
render-diff	dump-pages	0	1	0	SHADOW_B_ONLY
render-diff	dump-pages	0	0	0	JOINT_BOTH_FAIL
render-diff	info	1	1	1	JOINT_PASS
render-diff	info	1	0	0	SHADOW_A_ONLY
render-diff	info	0	1	0	SHADOW_B_ONLY
render-diff	info	0	0	0	JOINT_BOTH_FAIL
render-diff	inspect-hidden	1	1	1	JOINT_PASS
render-diff	inspect-hidden	1	0	0	SHADOW_A_ONLY
render-diff	inspect-hidden	0	1	0	SHADOW_B_ONLY
render-diff	inspect-hidden	0	0	0	JOINT_BOTH_FAIL
render-diff	inspect-injection	1	1	1	JOINT_PASS
render-diff	inspect-injection	1	0	0	SHADOW_A_ONLY
render-diff	inspect-injection	0	1	0	SHADOW_B_ONLY
render-diff	inspect-injection	0	0	0	JOINT_BOTH_FAIL
render-diff	inspect-unicode	1	1	1	JOINT_PASS
render-diff	inspect-unicode	1	0	0	SHADOW_A_ONLY
render-diff	inspect-unicode	0	1	0	SHADOW_B_ONLY
render-diff	inspect-unicode	0	0	0	JOINT_BOTH_FAIL
render-diff	inspect-watermark	1	1	1	JOINT_PASS
render-diff	inspect-watermark	1	0	0	SHADOW_A_ONLY
render-diff	inspect-watermark	0	1	0	SHADOW_B_ONLY
render-diff	inspect-watermark	0	0	0	JOINT_BOTH_FAIL
render-diff	replay	1	1	1	JOINT_PASS
render-diff	replay	1	0	0	SHADOW_A_ONLY
render-diff	replay	0	1	0	SHADOW_B_ONLY
render-diff	replay	0	0	0	JOINT_BOTH_FAIL
render-diff	audit	1	1	1	JOINT_PASS
render-diff	audit	1	0	0	SHADOW_A_ONLY
render-diff	audit	0	1	0	SHADOW_B_ONLY
render-diff	audit	0	0	0	JOINT_BOTH_FAIL
render-diff	lineage	1	1	1	JOINT_PASS
render-diff	lineage	1	0	0	SHADOW_A_ONLY
render-diff	lineage	0	1	0	SHADOW_B_ONLY
render-diff	lineage	0	0	0	JOINT_BOTH_FAIL
render-diff	csv-to-table-verify	1	1	1	JOINT_PASS
render-diff	csv-to-table-verify	1	0	0	SHADOW_A_ONLY
render-diff	csv-to-table-verify	0	1	0	SHADOW_B_ONLY
render-diff	csv-to-table-verify	0	0	0	JOINT_BOTH_FAIL
render-diff	sanitize-verify	1	1	1	JOINT_PASS
render-diff	sanitize-verify	1	0	0	SHADOW_A_ONLY
render-diff	sanitize-verify	0	1	0	SHADOW_B_ONLY
render-diff	sanitize-verify	0	0	0	JOINT_BOTH_FAIL
dump-pages	ir-diff	1	1	1	JOINT_PASS
dump-pages	ir-diff	1	0	0	SHADOW_A_ONLY
dump-pages	ir-diff	0	1	0	SHADOW_B_ONLY
dump-pages	ir-diff	0	0	0	JOINT_BOTH_FAIL
dump-pages	verify-pages	1	1	1	JOINT_PASS
dump-pages	verify-pages	1	0	0	SHADOW_A_ONLY
dump-pages	verify-pages	0	1	0	SHADOW_B_ONLY
dump-pages	verify-pages	0	0	0	JOINT_BOTH_FAIL
dump-pages	fill-verify	1	1	1	JOINT_PASS
dump-pages	fill-verify	1	0	0	SHADOW_A_ONLY
dump-pages	fill-verify	0	1	0	SHADOW_B_ONLY
dump-pages	fill-verify	0	0	0	JOINT_BOTH_FAIL
dump-pages	layout-anomaly	1	1	1	JOINT_PASS
dump-pages	layout-anomaly	1	0	0	SHADOW_A_ONLY
dump-pages	layout-anomaly	0	1	0	SHADOW_B_ONLY
dump-pages	layout-anomaly	0	0	0	JOINT_BOTH_FAIL
dump-pages	render-diff	1	1	1	JOINT_PASS
dump-pages	render-diff	1	0	0	SHADOW_A_ONLY
dump-pages	render-diff	0	1	0	SHADOW_B_ONLY
dump-pages	render-diff	0	0	0	JOINT_BOTH_FAIL
dump-pages	info	1	1	1	JOINT_PASS
dump-pages	info	1	0	0	SHADOW_A_ONLY
dump-pages	info	0	1	0	SHADOW_B_ONLY
dump-pages	info	0	0	0	JOINT_BOTH_FAIL
dump-pages	inspect-hidden	1	1	1	JOINT_PASS
dump-pages	inspect-hidden	1	0	0	SHADOW_A_ONLY
dump-pages	inspect-hidden	0	1	0	SHADOW_B_ONLY
dump-pages	inspect-hidden	0	0	0	JOINT_BOTH_FAIL
dump-pages	inspect-injection	1	1	1	JOINT_PASS
dump-pages	inspect-injection	1	0	0	SHADOW_A_ONLY
dump-pages	inspect-injection	0	1	0	SHADOW_B_ONLY
dump-pages	inspect-injection	0	0	0	JOINT_BOTH_FAIL
dump-pages	inspect-unicode	1	1	1	JOINT_PASS
dump-pages	inspect-unicode	1	0	0	SHADOW_A_ONLY
dump-pages	inspect-unicode	0	1	0	SHADOW_B_ONLY
dump-pages	inspect-unicode	0	0	0	JOINT_BOTH_FAIL
dump-pages	inspect-watermark	1	1	1	JOINT_PASS
dump-pages	inspect-watermark	1	0	0	SHADOW_A_ONLY
dump-pages	inspect-watermark	0	1	0	SHADOW_B_ONLY
dump-pages	inspect-watermark	0	0	0	JOINT_BOTH_FAIL
dump-pages	replay	1	1	1	JOINT_PASS
dump-pages	replay	1	0	0	SHADOW_A_ONLY
dump-pages	replay	0	1	0	SHADOW_B_ONLY
dump-pages	replay	0	0	0	JOINT_BOTH_FAIL
dump-pages	audit	1	1	1	JOINT_PASS
dump-pages	audit	1	0	0	SHADOW_A_ONLY
dump-pages	audit	0	1	0	SHADOW_B_ONLY
dump-pages	audit	0	0	0	JOINT_BOTH_FAIL
dump-pages	lineage	1	1	1	JOINT_PASS
dump-pages	lineage	1	0	0	SHADOW_A_ONLY
dump-pages	lineage	0	1	0	SHADOW_B_ONLY
dump-pages	lineage	0	0	0	JOINT_BOTH_FAIL
dump-pages	csv-to-table-verify	1	1	1	JOINT_PASS
dump-pages	csv-to-table-verify	1	0	0	SHADOW_A_ONLY
dump-pages	csv-to-table-verify	0	1	0	SHADOW_B_ONLY
dump-pages	csv-to-table-verify	0	0	0	JOINT_BOTH_FAIL
dump-pages	sanitize-verify	1	1	1	JOINT_PASS
dump-pages	sanitize-verify	1	0	0	SHADOW_A_ONLY
dump-pages	sanitize-verify	0	1	0	SHADOW_B_ONLY
dump-pages	sanitize-verify	0	0	0	JOINT_BOTH_FAIL
info	ir-diff	1	1	1	JOINT_PASS
info	ir-diff	1	0	0	SHADOW_A_ONLY
info	ir-diff	0	1	0	SHADOW_B_ONLY
info	ir-diff	0	0	0	JOINT_BOTH_FAIL
info	verify-pages	1	1	1	JOINT_PASS
info	verify-pages	1	0	0	SHADOW_A_ONLY
info	verify-pages	0	1	0	SHADOW_B_ONLY
info	verify-pages	0	0	0	JOINT_BOTH_FAIL
info	fill-verify	1	1	1	JOINT_PASS
info	fill-verify	1	0	0	SHADOW_A_ONLY
info	fill-verify	0	1	0	SHADOW_B_ONLY
info	fill-verify	0	0	0	JOINT_BOTH_FAIL
info	layout-anomaly	1	1	1	JOINT_PASS
info	layout-anomaly	1	0	0	SHADOW_A_ONLY
info	layout-anomaly	0	1	0	SHADOW_B_ONLY
info	layout-anomaly	0	0	0	JOINT_BOTH_FAIL
info	render-diff	1	1	1	JOINT_PASS
info	render-diff	1	0	0	SHADOW_A_ONLY
info	render-diff	0	1	0	SHADOW_B_ONLY
info	render-diff	0	0	0	JOINT_BOTH_FAIL
info	dump-pages	1	1	1	JOINT_PASS
info	dump-pages	1	0	0	SHADOW_A_ONLY
info	dump-pages	0	1	0	SHADOW_B_ONLY
info	dump-pages	0	0	0	JOINT_BOTH_FAIL
info	inspect-hidden	1	1	1	JOINT_PASS
info	inspect-hidden	1	0	0	SHADOW_A_ONLY
info	inspect-hidden	0	1	0	SHADOW_B_ONLY
info	inspect-hidden	0	0	0	JOINT_BOTH_FAIL
info	inspect-injection	1	1	1	JOINT_PASS
info	inspect-injection	1	0	0	SHADOW_A_ONLY
info	inspect-injection	0	1	0	SHADOW_B_ONLY
info	inspect-injection	0	0	0	JOINT_BOTH_FAIL
info	inspect-unicode	1	1	1	JOINT_PASS
info	inspect-unicode	1	0	0	SHADOW_A_ONLY
info	inspect-unicode	0	1	0	SHADOW_B_ONLY
info	inspect-unicode	0	0	0	JOINT_BOTH_FAIL
info	inspect-watermark	1	1	1	JOINT_PASS
info	inspect-watermark	1	0	0	SHADOW_A_ONLY
info	inspect-watermark	0	1	0	SHADOW_B_ONLY
info	inspect-watermark	0	0	0	JOINT_BOTH_FAIL
info	replay	1	1	1	JOINT_PASS
info	replay	1	0	0	SHADOW_A_ONLY
info	replay	0	1	0	SHADOW_B_ONLY
info	replay	0	0	0	JOINT_BOTH_FAIL
info	audit	1	1	1	JOINT_PASS
info	audit	1	0	0	SHADOW_A_ONLY
info	audit	0	1	0	SHADOW_B_ONLY
info	audit	0	0	0	JOINT_BOTH_FAIL
info	lineage	1	1	1	JOINT_PASS
info	lineage	1	0	0	SHADOW_A_ONLY
info	lineage	0	1	0	SHADOW_B_ONLY
info	lineage	0	0	0	JOINT_BOTH_FAIL
info	csv-to-table-verify	1	1	1	JOINT_PASS
info	csv-to-table-verify	1	0	0	SHADOW_A_ONLY
info	csv-to-table-verify	0	1	0	SHADOW_B_ONLY
info	csv-to-table-verify	0	0	0	JOINT_BOTH_FAIL
info	sanitize-verify	1	1	1	JOINT_PASS
info	sanitize-verify	1	0	0	SHADOW_A_ONLY
info	sanitize-verify	0	1	0	SHADOW_B_ONLY
info	sanitize-verify	0	0	0	JOINT_BOTH_FAIL
inspect-hidden	ir-diff	1	1	1	JOINT_PASS
inspect-hidden	ir-diff	1	0	0	SHADOW_A_ONLY
inspect-hidden	ir-diff	0	1	0	SHADOW_B_ONLY
inspect-hidden	ir-diff	0	0	0	JOINT_BOTH_FAIL
inspect-hidden	verify-pages	1	1	1	JOINT_PASS
inspect-hidden	verify-pages	1	0	0	SHADOW_A_ONLY
inspect-hidden	verify-pages	0	1	0	SHADOW_B_ONLY
inspect-hidden	verify-pages	0	0	0	JOINT_BOTH_FAIL
inspect-hidden	fill-verify	1	1	1	JOINT_PASS
inspect-hidden	fill-verify	1	0	0	SHADOW_A_ONLY
inspect-hidden	fill-verify	0	1	0	SHADOW_B_ONLY
inspect-hidden	fill-verify	0	0	0	JOINT_BOTH_FAIL
inspect-hidden	layout-anomaly	1	1	1	JOINT_PASS
inspect-hidden	layout-anomaly	1	0	0	SHADOW_A_ONLY
inspect-hidden	layout-anomaly	0	1	0	SHADOW_B_ONLY
inspect-hidden	layout-anomaly	0	0	0	JOINT_BOTH_FAIL
inspect-hidden	render-diff	1	1	1	JOINT_PASS
inspect-hidden	render-diff	1	0	0	SHADOW_A_ONLY
inspect-hidden	render-diff	0	1	0	SHADOW_B_ONLY
inspect-hidden	render-diff	0	0	0	JOINT_BOTH_FAIL
inspect-hidden	dump-pages	1	1	1	JOINT_PASS
inspect-hidden	dump-pages	1	0	0	SHADOW_A_ONLY
inspect-hidden	dump-pages	0	1	0	SHADOW_B_ONLY
inspect-hidden	dump-pages	0	0	0	JOINT_BOTH_FAIL
inspect-hidden	info	1	1	1	JOINT_PASS
inspect-hidden	info	1	0	0	SHADOW_A_ONLY
inspect-hidden	info	0	1	0	SHADOW_B_ONLY
inspect-hidden	info	0	0	0	JOINT_BOTH_FAIL
inspect-hidden	inspect-injection	1	1	1	JOINT_PASS
inspect-hidden	inspect-injection	1	0	0	SHADOW_A_ONLY
inspect-hidden	inspect-injection	0	1	0	SHADOW_B_ONLY
inspect-hidden	inspect-injection	0	0	0	JOINT_BOTH_FAIL
inspect-hidden	inspect-unicode	1	1	1	JOINT_PASS
inspect-hidden	inspect-unicode	1	0	0	SHADOW_A_ONLY
inspect-hidden	inspect-unicode	0	1	0	SHADOW_B_ONLY
inspect-hidden	inspect-unicode	0	0	0	JOINT_BOTH_FAIL
inspect-hidden	inspect-watermark	1	1	1	JOINT_PASS
inspect-hidden	inspect-watermark	1	0	0	SHADOW_A_ONLY
