command	family	risk	path	origin
search	query	critical	matches[].context	GrepMatch.context — 매치 앞뒤 문맥 발췌
extract-data	query	high	items[].raw	queries::extract_data::collect_into — 문서 문단·표 셀·글상자에서 인식한 원문 표기
extract-data	query	high	items[].unit	queries::extract_data::collect_into — 문서 원문 표기에서 인식한 수량 단위
fields	query	critical	fields[].name	누름틀 필드 이름 — 문서가 정한다
fields	query	critical	fields[].guide	누름틀 안내문
fields	query	critical	fields[].memo	누름틀 메모
fields	query	critical	fields[].command	누름틀 command 문자열
fields	query	critical	fields[].value	누름틀 현재값 — 문서에 저장된 텍스트
fields	query	critical	textSecurity.findings[].names[]	판정 대상이 된 필드 이름 원문 (#3707)
explain	query	high	fields[]	collect_field_records — 누름틀 이름 목록
explain	query	high	summary	explain_summary — 표 개수·누름틀 이름 등을 엮은 사람용 문장. 위 fields[] 와 같은 이름 문자열이 그대로 섞여 들어간다
explore	query	low		어포던스 메뉴 봉투는 형식 레이블·개수(pageCount·affordanceCount)·확신도·고정 명령 템플릿(<file> 자리표시자)·고정 고지문(note)뿐이다. 증거 menu[].why 는 문서 원문이 아니라 엔진이 센 개수를 엮은 사람 문장이라 문서 파생 문자열이 나갈 자리가 없다 — source 는 호출자 경로 에코다.
export-tables	table	critical	tables[].caption	표 캡션 텍스트
export-tables	table	critical	tables[].cells[].text	셀 문단 텍스트 결합값
export-tables	table	critical	tables[].cells[].nested[]	중첩 표 — caption/cells 가 같은 규칙으로 재귀한다
table-to-csv	table	critical	tables[].csv	queries::table_csv::grid_to_csv — 문서 표 셀의 텍스트를 RFC 4180 CSV로 직렬화
csv-to-table	table	high	changed[].oldText	resolve_table_cell — CSV를 적용하기 전 표 앵커 셀에 있던 문서 텍스트
chart-to-csv	chart	high	charts[].csv	queries::chart_csv::to_csv — 차트의 계열명·카테고리 라벨·값을 RFC 4180 CSV로 직렬화
csv-to-chart	chart	medium	changed[].from	ooxml_chart::data — CSV를 적용하기 전 차트 c:v 에 있던 문서 값
dump-pages	render-diag	medium	pages[].columns[].items[].textPreview	para_text_preview — 문단 텍스트 앞부분 미리보기 (queries::rendering)
inspect	security	critical	hiddenText[].excerpt	queries::hidden_text::detect_hidden_text — 조판상 은닉으로 판정한 문서 문자열의 제한 발췌
inspect	security	critical	injectionSignals[].excerpt	queries::injection_scan::make_excerpt — 주입 신호가 발견된 문서 문맥의 제한 발췌
inspect	security	critical	injectionSignals[].matched	queries::injection_scan::scan_text_in — 문서에서 실제 매치된 신호 조각
inspect	security	critical	findings[].excerpt	text_security::scan_deception — 유니코드 기만이 발견된 문서 문맥의 제한 발췌
inspect	security	critical	findings[].rendered	text_security::scan_deception — 문서 문자열을 사람이 보는 표시 순서로 재현한 값
inspect	security	critical	findings[].raw	text_security::scan_deception — 제어문자를 표기한 실제 문서 코드포인트 순서
inspect	security	critical	findings[].hidden	text_security::scan_deception — 태그 문자로 숨겨진 문서 문자열의 복원값
armor	security	critical	armoredText	queries::armor::fence — HwpDocument::extract_page_text_native 로 뽑은 문서 본문을 nonce 격벽으로 감싼 값. 격벽 표지만 엔진 생성이고 격벽 사이 본문은 전부 문서 파생이다
armor	security	critical	injectionSignals[].excerpt	queries::injection_scan::make_excerpt — 주입 신호가 발견된 문서 문맥의 제한 발췌
armor	security	critical	injectionSignals[].matched	queries::injection_scan::scan_text_in — 문서에서 실제 매치된 신호 조각
edit	edit	critical	confusable[].lookalikes	화면상 같아 보이는 **문서의 다른 누름틀 이름들** (#3707)
edit	edit	critical	oldText	set-cell 이 덮어쓰기 전 셀에 있던 문서 텍스트
edit	edit	critical	findings[].raw	redact 가 탐지한 개인정보 **원문** — 문서 본문에서 그대로 뽑은 값
edit	edit	critical	findings[].masked	redact 마스킹 결과 — 구조 문자·자릿수가 문서 원문에서 유래
edit	edit	critical	removed[].before	sanitize 가 지운 문서 속성 원문 — 제목·작성자·키워드, 그리고 preview.text 는 본문 첫 화면 발췌
run	edit	critical	steps[].oldText	set_cell step 이 덮기 전의 셀 텍스트
run	edit	critical	steps[].confusable[].lookalikes	fill_fields step 이 경고한 문서의 유사 필드 이름들
replay	receipt	none		영수증 봉투는 해시(inputSha256·planSha256·outputSha256)·모드·step 수·도구 버전·재현 판정뿐이다 — run 과 달리 저널을 싣지 않아 문서 문자열이 나갈 자리가 없다. input 경로와 expectedOutputSha256 은 계획서(호출자)가 준 값의 에코다.
audit	receipt	none		감사 봉투는 root(호출자 에코)·개수 회계(total/reproduced/reproducedRate)와 failed[](캡슐 파일 이름·실패 사유·기대/실측 해시)뿐이다 — 캡슐은 문서가 아니라 호출자 산출물이고, 문서 문자열은 재실행 내부에 머문다.
lineage	receipt	none		계보 봉투는 head(호출자 에코)·depth·판정 불리언(valid·parentOk·lineageOk· reproduced)·캡슐 파일 경로(brokenAt·links[].capsule)·해시뿐이다 — 캡슐은 호출자 산출물이고, 문서 문자열은 --deep 재실행 내부에 머문다.
keygen	receipt	none		키 발급 봉투는 keyId(호출자 에코)·publicKey(엔진 생성)·keyFile(호출자 에코)뿐이다 — 문서를 열지 않는다.
verify-signature	receipt	none		서명 검증 봉투는 경로 에코·해시·판정(signatureOk·keyKnown·revoked· verdict)뿐이다 — 캡슐·서명·키링은 호출자 산출물이고 문서를 열지 않는다.
harness	receipt	none		하네스 봉투는 경로 에코(dir·capsule·output)·해시·연번뿐이다 — 캡슐·키링은 호출자 산출물이고, 문서 문자열은 wrap 실행 내부에 머문다.
harness-status	receipt	none		판정 봉투는 경로 에코(dir)·개수 회계(capsules)·판정 불리언 (chainValid·verdict)·서명/재현 집계·깨진 캡슐 파일 이름(brokenAt)뿐이다 — 캡슐은 호출자 산출물이고, 문서 문자열은 --deep 재실행 내부에 머문다.
anchor	receipt	none		앵커 봉투는 경로 에코·해시·연번·머클 루트/경로·판정뿐이다 — 로그와 캡슐은 호출자 산출물이고 문서를 열지 않는다.
gate	receipt	none		게이트 봉투는 정책 이름·경로 에코·해시·판정(verdict·violations)뿐이다 — 캡슐·정책·키링은 호출자 산출물이고 문서를 열지 않는다.
bundle	receipt	none		번들 봉투는 경로 에코·개수 집계·판정(containerOk 등)·brokenAt 사유뿐이다 — 번들·도메인 파일은 호출자 산출물이고 문서를 열지 않는다.
disclose	receipt	none		공개 봉투는 경로 에코·커밋 수·포인터 목록·해시·판정뿐이다 — 값 원문은 비밀 개봉 파일에만 있고 봉투에 싣지 않는다(그것이 이 축의 존재 이유).
settle	receipt	none		봉투는 경로 에코·해시·판정·seq 뿐이다 — 명세서 제목·금액 같은 문서 유래 문자열은 봉투에 싣지 않는다(금액은 운반만 하는 문자열이고 도구는 계산하지 않는다, 범위 경계).
audit-report	receipt	none		봉투는 수치 합산·경로 에코·판정뿐 — 문서 유래 문자열은 실리지 않는다. 보고서 파일의 각 절도 같은 원칙(수치와 해시만)이다.
recall-scope	receipt	none		봉투는 캡슐 파일명·해시·경로 배열·계수뿐 — 문서 본문 유래 문자열이 지나는 길이 없다.
conformance	receipt	none		봉투는 등급·판정·검사 항목(고정 문자열+계수)뿐 — 문서 유래 문자열이 지나는 길이 없다.
ir-diff	verify	high	categories	차이 라인에서 뽑은 카테고리 키 — 보통은 엔진 라벨이지만, ':' 가 없는 차이 라인은 본문 전체가 키가 되어 문서 문자열이 섞일 수 있다(ir_diff 의 diff())
verify	verify	high	expectations[].actual	문서에서 읽은 실측값 — field 축은 누름틀 값 그대로이고, contains/notContains 의 매치 수·pages·format 도 문서 내용이 정한다 (cmd_verify)
render-diff	render-diag	none		기하 차이 봉투는 경로·노드 유형·좌표·집계값만 싣는다. 본문 텍스트와 이미지 바이트는 싣지 않는다.
layout-anomaly	render-diag	none		단일 렌더 트리의 overflow·overlap·빈 쪽 신호는 경로·노드 유형·좌표·집계만 싣는다. 본문 텍스트와 이미지 바이트는 봉투에 넣지 않는다.
thumbnail	render-diag	high	base64	문서에 내장된 PrvImage 미리보기 이미지 바이트
thumbnail	render-diag	high	dataUri	같은 이미지의 data: URI 형태
batch	batch	critical	text	export-text 축 레코드의 쪽 텍스트
batch	batch	critical	title	info 축 레코드의 문서 제목
batch	batch	critical	fonts[]	info 축 레코드의 글꼴 이름
batch	batch	critical	structure.preamble[]	export-structure 축 레코드
batch	batch	critical	structure.roots[].heading	export-structure 축 레코드
batch	batch	critical	structure.roots[].marker	export-structure 축 레코드
batch	batch	critical	structure.roots[].body[]	export-structure 축 레코드
batch	batch	critical	structure.roots[].children[]	export-structure 축 레코드
batch	batch	critical	tables[].caption	export-tables 축 레코드
batch	batch	critical	tables[].cells[].text	export-tables 축 레코드
batch	batch	critical	tables[].cells[].nested[]	export-tables 축 레코드
batch	batch	critical	fields[].name	fields 축 레코드
batch	batch	critical	fields[].guide	fields 축 레코드
batch	batch	critical	fields[].memo	fields 축 레코드
batch	batch	critical	fields[].command	fields 축 레코드
batch	batch	critical	fields[].value	fields 축 레코드
batch	batch	critical	textSecurity.findings[].names[]	fields 축 레코드
batch	batch	critical	matches[].text	search 축 레코드
batch	batch	critical	matches[].context	search 축 레코드
scan	security	medium	files[].probe.error	--probe 파싱 실패 메시지 — 파서가 문서 바이트를 읽다 만든 문자열이라 문서 내용 조각이 섞일 수 있다 (cmd_scan)
threat-scan	security	critical	findings[].detail	queries::threat_scan — 외부 참조 URL·링크 대상 경로 등 문서가 정한 문자열 조각. 종류(kind)·심각도·주소(location)·근거(rationale)는 엔진 판정이고, detail 만 문서 파생이라 원격 참조를 신고할 때만 실린다 (looks_remote 통과 대상)
export-svg	export	low		매니페스트는 산출 경로·바이트·쪽수뿐이다. 문서 텍스트는 SVG 파일 안에 있고 봉투에는 없다.
export-pdf	export	low		매니페스트는 backend·경로·바이트·쪽수뿐이다.
export-markdown	export	low		매니페스트는 쪽별 산출 경로·바이트뿐이다 — 본문은 MD 파일 쪽에 있다.
export-hwpx	export	none		저장 봉투는 경로·바이트·verify 판정값뿐이다.
export-hml	export	none		저장 봉투는 경로·바이트뿐이다.
export-doclang	export	none		저장 봉투는 경로·바이트·자산 개수·손실 개수뿐이다.
extract-pages	export	none		발췌 봉투는 쪽 범위와 문단 개수뿐이다.
convert	export	none		변환 봉투는 경로·바이트·verify 판정값뿐이다.
build-from-ingest	generate	none		생성 봉투는 경로·바이트·문항/문단 개수뿐이다. 입력 ingest JSON 은 문서가 아니라 호출자가 만든 계획서다.
scaffold	generate	none		생성 봉투는 경로·바이트·블록/문단/표 개수뿐이다. 입력 spec JSON 은 문서가 아니라 사용자/에이전트가 만든 명세다 — 문서 파생 값이 아니다.
capabilities	self-desc	none		문서를 열지 않는다 — 전부 바이너리 자신의 선언이다.
export-ir-schema	self-desc	none		문서를 열지 않는다 — 공개 IR 타입의 자기서술(JSON Schema)이다.
export-capabilities-schema	self-desc	none		문서를 열지 않는다 — capabilities 타입의 자기서술(JSON Schema)이다.
export-provenance-map	self-desc	none		본 지도 자신 — 문서를 열지 않는다.
export-ontology	self-desc	none		문서를 열지 않는다 — 자기서술(IR 스키마·capabilities·MCP 도구·본 지도)에서 기계 유도한 JSON-LD 온톨로지다. 본 지도의 untrusted 경로는 온톨로지 안에서 신뢰 술어(rhwp:untrustedFields)로 다시 실린다.
export-agent-manifest	self-desc	none		문서를 열지 않는다 — capabilities·export-ir-schema·export-provenance-map·export-plan-schema 의 자기서술을 조립한 것뿐이다.
export-plan-schema	self-desc	none		문서를 열지 않는다 — run 계획서 문법의 자기서술(JSON Schema)이다.
