ident	family	byteLength	sha256
plan:date_korean	공문	213	907304bee107dab1e1b079382fd02e424d537c19ad37436c94e10a0af39045b8
plan:honorific	공문	188	8d679663bc5c59cb20add8c266ec877b72f5c911c7eba74997b41b4ec6115b10
plan:sender_title	공문	222	54cdee69f8913f71fca92fba7af35133b2837d5a0b0171452bc118a263aba2d9
plan:receiver_dept	공문	210	d1f07ad3d3c816c81d63247fb7b0de0c1491387f527f1aa8f31bba9641c2be67
plan:via_line	공문	213	368ad9d92d6bcc0b07ac6141bcfa7918d2eff5f1b5359ef57bdae00107e5c277
plan:subject_line	공문	228	e27be0e09d6957721cb02eceee2f1234a82e9bc6720bef9302c022c0f8b9da93
plan:ref_number	공문	209	4e5777f893756ae290a2ef9177371a971288b3ec5df089cf78d80bf9b6f1b728
plan:attach_count	공문	203	ab180600589756651cbe2937a2d259bf6e3428973a195ebf483eeaefa90d43d7
plan:copy_to	공문	223	b2ffbd4523b6cbd8728ae84ddf68d6b4f2defda9466550e33ece3ffd7e183f72
plan:effective_date	고시	240	f1ce80ee79f7201c651f7a349e3ad1321d2be981a2bffae1149e6c8e5d873a96
plan:expire_date	고시	219	f558ace7cc260fdc7187c2f873d791d2a95e6e9279385fb7892e37f19bde885c
plan:budget_code	예산	165	1aaa37f70a491b26ef4cf22e52cffe590ad20842623e3900d97ec3e9f9d90f71
plan:account_mask	보안	207	d3e1b863274d6b9bb5ee37f4bf247661cf1515c44198772f6f5bd17ee42859b4
plan:biz_no	계약	195	457c2570dde7765b72902ff45878a99fb3ac3427e32c9dc7f8c1a46c5652c241
plan:corp_name	계약	206	38e5fcad5009a0177483541c1fbecacfbc0fe5e8b4f01e24f27382bde2862461
plan:bid_round	입찰	198	ebd5bd3ed92b2ba691c4a310c027bf217df645dee6e191320a4296b45bcfb785
plan:bid_price	입찰	230	8d4246b06263ecfb592f57ce0a0891cd219134e11f9e714fb52dd1a175784f17
plan:exam_year	시험	168	3adf4063d44a904fb8088bb671978fb817796df82cdd2325a74a0ee7120c9148
plan:exam_subject	시험	187	fb558c7c7ea259daa2692dbdfcd7b2b8486c4125ed0e94b1e04dee3b7f35907d
plan:minutes_date	회의록	211	6edd57cae13f8f0c88399e96aecb23177d7d108e1fde3f627097e069ef3d58c2
plan:minutes_attend	회의록	203	d6acc466cf34e0ec92a1d13334f11a55238d4883adae1a1a7d1faf4a41c52347
plan:agenda_item	안건	206	655664ef3e7d5fd4aa1f9319ac1690041230c0be0c81972d56cc5518bd53c700
plan:petition_no	민원	227	5d5f69880799dafd3cb189f021b5ae953bd6150f2b96cb96aaaf97927f8a7ce0
plan:petition_result	민원	223	7b2bebd11b5d961f21b7c66ddecfaa49ab04d192f67bc2e691f7d1f9f2f2aaf4
plan:hr_order	인사	201	13f17887507fbcfc056ed9ecd2e17ba04f04be30bab083803e3d2cada6525a93
plan:hr_grade	인사	210	cdc46f4143958edd79f549d6391ea1afdbd80e7a5e1b5115270914e823e18673
plan:statute_article	법령	212	464b8551b522572d10af61846bea672f954be6c624e992343780628cb42da89a
plan:statute_amend	법령	204	3e2f23fd1fc0097e8b3505a92330122f3a33641ec1504799c2e470a5005fade2
plan:registry_lot	등기	203	46dcd89232ad6f0719cb73d926da2242fa28f81b64b6e0887f17c09d720fd467
plan:registry_owner	등기	228	8b07daddecbe6eb4383a86eb3b6994011732a10b3c555723108db6c08e814e0a
plan:audit_finding	감사	232	86f8e974338bbc91d750610277908d3e302c297ed9b3a784a11de2e6b7657e59
plan:audit_action	감사	217	f3b86dabd659e9541e720633e8c203d6b0de4b5b70d5b0bb5dff47b6db660ba5
plan:contract_party	계약	224	8294408b571f588d071ca3cc4f6659ee11e31a75e313c36737b63626136b64a7
plan:contract_period	계약	254	11df42e2712f881ed903baa40e5e2804a918b8052a7fa2897d6d90f42e4503c1
plan:vat_include	계약	210	24a41e633b2f46fe5be9b1b1a4927bc39c2d795927498bc948696720e1870813
plan:gazette_no	고시	213	babf80f1bde9f780df4b6c363ed093b89cd6222422c3e4d1236d8f4b61c2c1bb
plan:gazette_date	고시	225	7807b3d9a719eefa7a34f778951fdd22cd819d7d81f63cfa8596e6a3b99c3307
plan:form_date	신청서	160	51e01ccba34f73649c9131365a30d32f03405e2347a4031b0f00da2600210da3
plan:form_addr	신청서	179	016563da084cbd0ede2d16e83705dd33f2f99ff14dda990e1848368f1f5ef0df
plan:form_phone	신청서	163	dc4e5148a47fc3004b1448ecd9f258e32d29e4d1bd72891698a2ecd2c3c4f2a5
plan:set_cell_name	표	169	7709b0cc6b5bc28b9d5e6a0e73048f50db75ac7afa9600bd612095a240e4beab
plan:set_cell_score	시험	163	c64649ed255380496b13b907f8bf76aaf21b6ea61d73edb6d7c3afc5442fcc95
plan:checkbox_no	신청서	164	92ed9859234b91781804d8cd705d2168285d3db27e0e05b4c6c4b6440fcaa601
plan:multi_notice	공문	260	20ea0434f20736ae7c80c6438d6acecb731c7e2c6ab0e2f5b88b497921f91c08
plan:multi_form	신청서	229	891a6c6e8c86147a7a328b9ec1611250b0aef4130630f4e94278702b6b74467f
plan:multi_table	표	308	8bb0c7842c6d93036cb09825ca0ef67c4a724569ee2e63856d22d4956ebabe37
plan:occurrence_first	공문	199	f3d00efb1e94d3b989ef60810f3691474d8dd4b7de63efa8ec8bedbe68cd459b
plan:case_fold_off	공문	216	147f30fa038633dd3c4cf79f19d6706246dc77b827334b7be6f02619bbf5ebe1
plan:delete_draft	공문	187	fcc86c74a315a5027d52bebd33a8d0d942c5448df999eb47ed7ba7d8e3dcf1d7
plan:fullwidth_year	공문	197	395ecb3e3bfec902df859666c8ff75598c2f4cc52197e31249122a938e18ee37
plan:middle_dot	법령	222	a848e87a0d12c181f02c11a6dc65137c666bb7d7563c71e306178eb5d413a505
plan:tilde_range	공문	190	51b36dcaad69f47dd43c48ed13cf55888193f53228737d9e12baee1ba014a73c
plan:won_symbol	예산	156	94e80c6e9d95869c9f4c7f59ae3afb90de7f2a47cee6a642bc9ed6d416807fdd
plan:percent_rate	계약	195	0817e4e75fccb51dea09652a2d610feb5a4d68eb6672e183b2824ed030406342
plan:footnote_star	공문	236	db9726871c81a5b40537549a77ec48da64b6751d6db2b5ac9c4b1e85adfd4e94
plan:header_org	공문	227	5eb7335dff0b978629708fa74c290cc1e4854c29130c51ed1e5970ea8e9ad231
plan:form_indexed	신청서	199	737d2c60ca13ffa72b95fcc8e68a031fc66a9fad72daf4a0eac87fb9b5db7974
plan:keep_style_cell	표	184	3d63f1f1f7c0a6ae54f2efe431a77b0aeb736c592f04b6ce6d0a60689694b8db
