font	search_name	document_count	status	download_available	webfont_usable	webfont_usable_reason	delivery	package	version	license	download_url	note
3 of 9 Barcode	3 of 9 barcode	8	license-review	가능	라이선스 검토 필요	CDN 응답은 확인했지만 원 권리자의 웹 사용 허가를 확인하지 못함	OnlineWebFonts	onlinewebfonts:7a3abce9f43e0b74320df47238a0460c	7a3abce9f43e0b74320df47238a0460c	원 권리자 웹 사용 허가 미확인	https://db.onlinewebfonts.com/t/7a3abce9f43e0b74320df47238a0460c.woff2	OnlineWebFonts WOFF2 응답 확인 (https://www.onlinewebfonts.com/download/7a3abce9f43e0b74320df47238a0460c); 실제 서비스 배포 전 원 권리자 사용 허가 확인 필요
3D LET (BRK)	3d let (brk)	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
62570체	62570체	1	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	jsDelivr 웹 검색	@noonnu/62570che	0.1.0	MIT	https://cdn.jsdelivr.net/npm/@noonnu/62570che@0.1.0/fonts/62570-normal.woff	jsDelivr 웹 검색 후 실제 CDN 글꼴 파일 응답 확인
가는각진제목체	가는각진제목체	101	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가는공한	가는공한	10	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가는둥근제목체	가는둥근제목체	29	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가는안상수체	가는안상수체	44	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가는안상수체영문	가는안상수체영문	10	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가는으뜸체	가는으뜸체	10	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가는한	가는한	11	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가시나무B	가시나무	4	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가시나무IIM	가시나무iim	4	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가시나무L	가시나무	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가시나무M	가시나무	9	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가을10	가을10	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가을9	가을9	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가을잎체(가는)	가을잎체(가는)	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가을체	가을체	5	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
가지	가지	12	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
각머리A	각머리a	3	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
각머리D	각머리d	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
갈대M	갈대	5	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
갈잎체	갈잎체	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
강낭콩	강낭콩	10	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
개성체	개성체	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
갯마을B	갯마을	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
갯마을L	갯마을	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
갯마을M	갯마을	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
견고딕	견고딕	60	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@noonnu/chosun-bg, @noonnu/chosunbg				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
견명조	견명조	46	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
경기천년바탕 Bold	경기천년바탕	2	available	가능	가능	Noonnu 상세 페이지의 웹사이트 사용 가능 요약과 CDN 응답 확인	Noonnu CDN	noonnu:font_page/13	13	Noonnu 요약표: 웹사이트 사용 가능	https://cdn.jsdelivr.net/gh/projectnoonnu/2410-3@1.0/Batang_Regular.woff	Noonnu 상세 페이지에서 웹사이트 사용 허가와 CDN 응답 확인 (https://noonnu.cc/font_page/13)
경기천년바탕 Regular	경기천년바탕	20	available	가능	가능	Noonnu 상세 페이지의 웹사이트 사용 가능 요약과 CDN 응답 확인	Noonnu CDN	noonnu:font_page/13	13	Noonnu 요약표: 웹사이트 사용 가능	https://cdn.jsdelivr.net/gh/projectnoonnu/2410-3@1.0/Batang_Regular.woff	Noonnu 상세 페이지에서 웹사이트 사용 허가와 CDN 응답 확인 (https://noonnu.cc/font_page/13)
경기천년바탕OTF Bold	경기천년바탕otf	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
경기천년바탕OTF Regular	경기천년바탕otf	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
경기천년제목 Bold	경기천년제목	3	available	가능	가능	Noonnu 상세 페이지의 웹사이트 사용 가능 요약과 CDN 응답 확인	Noonnu CDN	noonnu:font_page/14	14	Noonnu 요약표: 웹사이트 사용 가능	https://cdn.jsdelivr.net/gh/projectnoonnu/2410-3@1.0/Title_Medium.woff	Noonnu 상세 페이지에서 웹사이트 사용 허가와 CDN 응답 확인 (https://noonnu.cc/font_page/14)
경기천년제목 Light	경기천년제목	4	available	가능	가능	Noonnu 상세 페이지의 웹사이트 사용 가능 요약과 CDN 응답 확인	Noonnu CDN	noonnu:font_page/14	14	Noonnu 요약표: 웹사이트 사용 가능	https://cdn.jsdelivr.net/gh/projectnoonnu/2410-3@1.0/Title_Medium.woff	Noonnu 상세 페이지에서 웹사이트 사용 허가와 CDN 응답 확인 (https://noonnu.cc/font_page/14)
경기천년제목 Medium	경기천년제목	13	available	가능	가능	Noonnu 상세 페이지의 웹사이트 사용 가능 요약과 CDN 응답 확인	Noonnu CDN	noonnu:font_page/14	14	Noonnu 요약표: 웹사이트 사용 가능	https://cdn.jsdelivr.net/gh/projectnoonnu/2410-3@1.0/Title_Medium.woff	Noonnu 상세 페이지에서 웹사이트 사용 허가와 CDN 응답 확인 (https://noonnu.cc/font_page/14)
경기천년제목OTF Bold	경기천년제목otf	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
경기천년제목V Bold	경기천년제목v	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
고구려B	고구려	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
고구려L	고구려	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
고구려M	고구려	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
고딕	고딕	201	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
고딩B	고딩	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
고딩L	고딩	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
고딩M	고딩	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
고추잠자리B	고추잠자리	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
고추잠자리L	고추잠자리	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
고추잠자리M	고추잠자리	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
공작	공작	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
광진구청	광진구청	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
구름L	구름	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
국학진흥KK1	국학진흥kk1	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
굴렁쇠목각M	굴렁쇠목각	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
굴렁쇠M	굴렁쇠	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
굴림	굴림	5610	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
굴림 옛한글	굴림 옛한글	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
굴림 옛한글 자모	굴림 옛한글 자모	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
굴림체	굴림체	2506	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@noonnu/chosun-gu, @noonnu/chosungu				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
굵은공한	굵은공한	11	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
굵은안상수체	굵은안상수체	12	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
굵은안상수체영문	굵은안상수체영문	10	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
굵은으뜸체	굵은으뜸체	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
굵은한	굵은한	10	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
궁서	궁서	233	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
궁서 옛한글	궁서 옛한글	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
궁서체	궁서체	74	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@noonnu/chosun-gs, @noonnu/chosungs				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
그래픽	그래픽	53	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@noonnu/y-universe-b				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
그래픽체	그래픽체	3	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
까치집B	까치집	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
까치집M	까치집	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함; Noonnu 조회 실패: HTTP 429
꼬꼬마B	꼬꼬마	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
꼬꼬마L	꼬꼬마	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
꼬꼬마M	꼬꼬마	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
나눔고딕	나눔고딕	205	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	Fontsource npm	@fontsource/nanum-gothic	5.3.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@fontsource/nanum-gothic@5.3.0/files/nanum-gothic-0-400-normal.woff	패키지 메타데이터와 실제 CDN 글꼴 파일 응답 확인
나눔고딕 Bold	나눔고딕	251	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	Fontsource npm	@fontsource/nanum-gothic	5.3.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@fontsource/nanum-gothic@5.3.0/files/nanum-gothic-0-400-normal.woff	패키지 메타데이터와 실제 CDN 글꼴 파일 응답 확인
나눔고딕 ExtraBold	나눔고딕	91	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	Fontsource npm	@fontsource/nanum-gothic	5.3.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@fontsource/nanum-gothic@5.3.0/files/nanum-gothic-0-400-normal.woff	패키지 메타데이터와 실제 CDN 글꼴 파일 응답 확인
나눔고딕 Light	나눔고딕	65	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	Fontsource npm	@fontsource/nanum-gothic	5.3.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@fontsource/nanum-gothic@5.3.0/files/nanum-gothic-0-400-normal.woff	패키지 메타데이터와 실제 CDN 글꼴 파일 응답 확인
나눔고딕_코딩	나눔고딕 코딩	18	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	Fontsource npm	@fontsource/nanum-gothic-coding	5.3.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@fontsource/nanum-gothic-coding@5.3.0/files/nanum-gothic-coding-0-400-normal.woff	패키지 메타데이터와 실제 CDN 글꼴 파일 응답 확인
나눔고딕OTF	나눔고딕otf	1	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	jsDelivr 웹 검색	@kfonts/nanum-gothic-otf	0.2.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@kfonts/nanum-gothic-otf@0.2.0/src/NanumGothic.otf	jsDelivr 웹 검색 후 실제 CDN 글꼴 파일 응답 확인
나눔고딕OTF Bold	나눔고딕otf	1	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	jsDelivr 웹 검색	@kfonts/nanum-gothic-otf	0.2.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@kfonts/nanum-gothic-otf@0.2.0/src/NanumGothicBold.otf	jsDelivr 웹 검색 후 실제 CDN 글꼴 파일 응답 확인
나눔명조	나눔명조	116	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	Fontsource npm	@fontsource/nanum-myeongjo	5.3.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@fontsource/nanum-myeongjo@5.3.0/files/nanum-myeongjo-0-400-normal.woff	패키지 메타데이터와 실제 CDN 글꼴 파일 응답 확인
나눔명조 ExtraBold	나눔명조	19	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	Fontsource npm	@fontsource/nanum-myeongjo	5.3.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@fontsource/nanum-myeongjo@5.3.0/files/nanum-myeongjo-0-400-normal.woff	패키지 메타데이터와 실제 CDN 글꼴 파일 응답 확인
나눔명조OTF ExtraBold	나눔명조otf	9	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	jsDelivr 웹 검색	@kfonts/nanum-myeongjo-otf	0.2.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@kfonts/nanum-myeongjo-otf@0.2.0/src/NanumMyeongjoExtraBold.otf	jsDelivr 웹 검색 후 실제 CDN 글꼴 파일 응답 확인
나눔바른고딕	나눔바른고딕	34	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@kfonts/nanum-barun-gothic, @kfonts/nanum-barun-gothic-yet-hangul, @kfonts/nanum-barun-gothic-yet-hangul-otf				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
나눔바른고딕 옛한글	나눔바른고딕 옛한글	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@kfonts/nanum-barun-gothic-yet-hangul				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
나눔바른고딕 Light	나눔바른고딕	2	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	jsDelivr 웹 검색	@kfonts/nanum-barun-gothic	0.3.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@kfonts/nanum-barun-gothic@0.3.0/NanumBarunGothicLight.woff	jsDelivr 웹 검색 후 실제 CDN 글꼴 파일 응답 확인
나눔바른고딕OTF	나눔바른고딕otf	1	available	가능	가능	공급 경로의 라이선스 단서와 CDN 응답 확인	jsDelivr 웹 검색	@kfonts/nanum-barun-gothic-yet-hangul-otf	0.2.0	OFL-1.1	https://cdn.jsdelivr.net/npm/@kfonts/nanum-barun-gothic-yet-hangul-otf@0.2.0/src/NanumBarunGothic-YetHangul.otf	jsDelivr 웹 검색 후 실제 CDN 글꼴 파일 응답 확인
나눔바른펜	나눔바른펜	3	available	가능	가능	Noonnu 상세 페이지의 웹사이트 사용 가능 요약과 CDN 응답 확인	Noonnu CDN	noonnu:font_page/42	42	Noonnu 요약표: 웹사이트 사용 가능	https://cdn.jsdelivr.net/gh/projectnoonnu/noonfonts_two@1.0/NanumBarunpen.woff	Noonnu 상세 페이지에서 웹사이트 사용 허가와 CDN 응답 확인 (https://noonnu.cc/font_page/42)
나눔손글씨 붓	나눔손글씨 붓	4	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@kfonts/nanum-brush, @kfonts/nanum-brush-otf, @noonnu/nanum-brush-script				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
나눔손글씨 펜	나눔손글씨 펜	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@kfonts/nanum-pen-otf, @kfonts/nanum-pen, @noonnu/nanum-pen-script				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
나눔스퀘어	나눔스퀘어	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@noonnu/nanum-square-neo-variable, @kfonts/nanum-square, @kfonts/nanum-square-otf				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
나눔스퀘어 Bold	나눔스퀘어	4	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@noonnu/nanum-square-neo-variable, @kfonts/nanum-square, @kfonts/nanum-square-otf				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
나눔스퀘어 ExtraBold	나눔스퀘어	3	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@noonnu/nanum-square-neo-variable, @kfonts/nanum-square, @kfonts/nanum-square-otf				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
나눔스퀘어라운드 Bold	나눔스퀘어라운드	1	available	가능	가능	Noonnu 상세 페이지의 웹사이트 사용 가능 요약과 CDN 응답 확인	Noonnu CDN	noonnu:font_page/38	38	Noonnu 요약표: 웹사이트 사용 가능	https://cdn.jsdelivr.net/gh/projectnoonnu/noonfonts_two@1.0/NanumSquareRound.woff	Noonnu 상세 페이지에서 웹사이트 사용 허가와 CDN 응답 확인 (https://noonnu.cc/font_page/38)
나눔스퀘어라운드 ExtraBold	나눔스퀘어라운드	1	available	가능	가능	Noonnu 상세 페이지의 웹사이트 사용 가능 요약과 CDN 응답 확인	Noonnu CDN	noonnu:font_page/38	38	Noonnu 요약표: 웹사이트 사용 가능	https://cdn.jsdelivr.net/gh/projectnoonnu/noonfonts_two@1.0/NanumSquareRound.woff	Noonnu 상세 페이지에서 웹사이트 사용 허가와 CDN 응답 확인 (https://noonnu.cc/font_page/38)
나눔스퀘어라운드 Regular	나눔스퀘어라운드	1	available	가능	가능	Noonnu 상세 페이지의 웹사이트 사용 가능 요약과 CDN 응답 확인	Noonnu CDN	noonnu:font_page/38	38	Noonnu 요약표: 웹사이트 사용 가능	https://cdn.jsdelivr.net/gh/projectnoonnu/noonfonts_two@1.0/NanumSquareRound.woff	Noonnu 상세 페이지에서 웹사이트 사용 허가와 CDN 응답 확인 (https://noonnu.cc/font_page/38)
