caseId	family	command	sample	tableIndex	rows	cols	mode	expectExit	writes	csvRoundtrip	invalidReasons	changedCount	coveredCount	nextAction
C-many_small-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	8	6	dry-run	2	False	extract-only	coveredCellNotEmpty	0	8	edit set-cell
C-many_small-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	8	6	dry-run	2	False	extract-only	coveredCellNotEmpty	0	8	edit set-cell
C-many_small-second	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	8	6	write	2	False	extract-only	coveredCellNotEmpty	0	8	edit set-cell
C-rowspan2_r0c0-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-rowspan2_r0c0-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-rowspan2_r0c0-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-rowspan2_r1c2-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-rowspan2_r1c2-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-rowspan2_r1c2-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-rowspan3_note-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	4	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty	0	2	edit set-cell
C-rowspan3_note-control-on-anchor	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	4	dry-run	2	False	extract-only	controlCharacter	0	2	edit set-cell
C-rowspan3_note-empty-covered-ok-dim	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	4	dry-run	0	False	extract-only		0	2	edit set-cell
C-rowspan3_note-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	2	edit set-cell
C-rowspan3_note-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	2	edit set-cell
C-table001_header-all	covered	csv-to-table	samples/table-001.hwp	0	19	9	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	6	edit set-cell
C-table001_header-control-on-anchor	covered	csv-to-table	samples/table-001.hwp	0	19	9	dry-run	2	False	extract-only	controlCharacter	0	6	edit set-cell
C-table001_header-empty-covered-ok-dim	covered	csv-to-table	samples/table-001.hwp	0	19	9	dry-run	0	False	extract-only		0	6	edit set-cell
C-table001_header-first	covered	csv-to-table	samples/table-001.hwp	0	19	9	dry-run	2	False	extract-only	coveredCellNotEmpty	0	6	edit set-cell
C-table001_header-last	covered	csv-to-table	samples/table-001.hwp	0	19	9	dry-run	2	False	extract-only	coveredCellNotEmpty	0	6	edit set-cell
C-table001_header-second	covered	csv-to-table	samples/table-001.hwp	0	19	9	write	2	False	extract-only	coveredCellNotEmpty	0	6	edit set-cell
C-tall_col0-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	8	4	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	6	edit set-cell
C-tall_col0-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	8	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	6	edit set-cell
C-tall_col0-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	8	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	6	edit set-cell
C-triple_header-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	6	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	3	edit set-cell
C-triple_header-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	6	dry-run	2	False	extract-only	coveredCellNotEmpty	0	3	edit set-cell
C-triple_header-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	6	dry-run	2	False	extract-only	coveredCellNotEmpty	0	3	edit set-cell
C-two_colspan3-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	7	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	4	edit set-cell
C-two_colspan3-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	7	dry-run	2	False	extract-only	coveredCellNotEmpty	0	4	edit set-cell
C-two_colspan3-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	7	dry-run	2	False	extract-only	coveredCellNotEmpty	0	4	edit set-cell
C-wide_row0-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	6	8	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	6	edit set-cell
C-wide_row0-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	6	8	dry-run	2	False	extract-only	coveredCellNotEmpty	0	6	edit set-cell
C-wide_row0-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	6	8	dry-run	2	False	extract-only	coveredCellNotEmpty	0	6	edit set-cell
D-chujin-both_short	dimension	csv-to-table	samples/추진일정.hwp	0	4	3	dry-run	2	False	allowed	rowCountMismatch,colCountMismatch,colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-chujin-col_long_first	dimension	csv-to-table	samples/추진일정.hwp	0	4	3	dry-run	2	False	allowed	colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-chujin-col_short_all	dimension	csv-to-table	samples/추진일정.hwp	0	4	3	dry-run	2	False	allowed	colCountMismatch,colCountMismatch,colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-chujin-empty	dimension	csv-to-table	samples/추진일정.hwp	0	4	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-chujin-header_drop	dimension	csv-to-table	samples/추진일정.hwp	0	4	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-chujin-ragged-mid	dimension	csv-to-table	samples/추진일정.hwp	0	4	3	write	2	False	allowed	colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-chujin-row_long_1	dimension	csv-to-table	samples/추진일정.hwp	0	4	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-chujin-row_short_1	dimension	csv-to-table	samples/추진일정.hwp	0	4	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwp_table_test_t0-both_short	dimension	csv-to-table	samples/hwp_table_test.hwp	0	4	3	dry-run	2	False	allowed	rowCountMismatch,colCountMismatch,colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwp_table_test_t0-col_long_first	dimension	csv-to-table	samples/hwp_table_test.hwp	0	4	3	dry-run	2	False	allowed	colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwp_table_test_t0-col_short_all	dimension	csv-to-table	samples/hwp_table_test.hwp	0	4	3	dry-run	2	False	allowed	colCountMismatch,colCountMismatch,colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwp_table_test_t0-empty	dimension	csv-to-table	samples/hwp_table_test.hwp	0	4	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwp_table_test_t0-header_drop	dimension	csv-to-table	samples/hwp_table_test.hwp	0	4	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwp_table_test_t0-ragged-mid	dimension	csv-to-table	samples/hwp_table_test.hwp	0	4	3	write	2	False	allowed	colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwp_table_test_t0-row_long_1	dimension	csv-to-table	samples/hwp_table_test.hwp	0	4	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwp_table_test_t0-row_short_1	dimension	csv-to-table	samples/hwp_table_test.hwp	0	4	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwp_table_test_t0-unclosed-quote	dimension	csv-to-table	samples/hwp_table_test.hwp	0	4	3	dry-run	2	False	allowed	csvParse	0	0	CSV 라이브러리로 재생성
D-hwpx_basic_01-both_short	dimension	csv-to-table	samples/hwpx/basic-table-01.hwpx	0	2	2	dry-run	2	False	allowed	rowCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwpx_basic_01-col_long_first	dimension	csv-to-table	samples/hwpx/basic-table-01.hwpx	0	2	2	dry-run	2	False	allowed	colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwpx_basic_01-col_short_all	dimension	csv-to-table	samples/hwpx/basic-table-01.hwpx	0	2	2	dry-run	2	False	allowed	colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwpx_basic_01-empty	dimension	csv-to-table	samples/hwpx/basic-table-01.hwpx	0	2	2	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwpx_basic_01-header_drop	dimension	csv-to-table	samples/hwpx/basic-table-01.hwpx	0	2	2	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwpx_basic_01-row_long_1	dimension	csv-to-table	samples/hwpx/basic-table-01.hwpx	0	2	2	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-hwpx_basic_01-row_short_1	dimension	csv-to-table	samples/hwpx/basic-table-01.hwpx	0	2	2	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t0-both_short	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	0	2	1	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t0-col_long_first	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	0	2	1	dry-run	2	False	allowed	colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t0-empty	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	0	2	1	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t0-header_drop	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	0	2	1	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t0-row_long_1	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	0	2	1	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t0-row_short_1	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	0	2	1	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t1-both_short	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	1	2	3	dry-run	2	False	allowed	rowCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t1-col_long_first	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	1	2	3	dry-run	2	False	allowed	colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t1-col_short_all	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	1	2	3	dry-run	2	False	allowed	colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t1-empty	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	1	2	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t1-header_drop	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	1	2	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t1-row_long_1	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	1	2	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t1-row_short_1	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	1	2	3	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-issue2007_t1-unclosed-quote	dimension	csv-to-table	samples/basic/issue2007_nested_cell_pagination_42065.hwp	1	2	3	dry-run	2	False	allowed	csvParse	0	0	CSV 라이브러리로 재생성
D-jichi_body_12-both_short	dimension	csv-to-table	samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx	12	5	4	dry-run	2	False	allowed	rowCountMismatch,colCountMismatch,colCountMismatch,colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-jichi_body_12-col_long_first	dimension	csv-to-table	samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx	12	5	4	dry-run	2	False	allowed	colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-jichi_body_12-col_short_all	dimension	csv-to-table	samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx	12	5	4	dry-run	2	False	allowed	colCountMismatch,colCountMismatch,colCountMismatch,colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-jichi_body_12-empty	dimension	csv-to-table	samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx	12	5	4	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-jichi_body_12-header_drop	dimension	csv-to-table	samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx	12	5	4	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-jichi_body_12-row_long_1	dimension	csv-to-table	samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx	12	5	4	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-jichi_body_12-row_short_1	dimension	csv-to-table	samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx	12	5	4	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_2x2_m0-both_short	dimension	csv-to-table	synthetic/shape_2x2_m0.hwp	0	2	2	dry-run	2	False	allowed	rowCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_2x2_m0-col_long_first	dimension	csv-to-table	synthetic/shape_2x2_m0.hwp	0	2	2	dry-run	2	False	allowed	colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_2x2_m0-col_short_all	dimension	csv-to-table	synthetic/shape_2x2_m0.hwp	0	2	2	dry-run	2	False	allowed	colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_2x2_m0-empty	dimension	csv-to-table	synthetic/shape_2x2_m0.hwp	0	2	2	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_2x2_m0-header_drop	dimension	csv-to-table	synthetic/shape_2x2_m0.hwp	0	2	2	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_2x2_m0-row_long_1	dimension	csv-to-table	synthetic/shape_2x2_m0.hwp	0	2	2	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_2x2_m0-row_short_1	dimension	csv-to-table	synthetic/shape_2x2_m0.hwp	0	2	2	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_3x4_m0-both_short	dimension	csv-to-table	synthetic/shape_3x4_m0.hwp	0	3	4	dry-run	2	False	allowed	rowCountMismatch,colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_3x4_m0-col_long_first	dimension	csv-to-table	synthetic/shape_3x4_m0.hwp	0	3	4	dry-run	2	False	allowed	colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_3x4_m0-col_short_all	dimension	csv-to-table	synthetic/shape_3x4_m0.hwp	0	3	4	dry-run	2	False	allowed	colCountMismatch,colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_3x4_m0-empty	dimension	csv-to-table	synthetic/shape_3x4_m0.hwp	0	3	4	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_3x4_m0-header_drop	dimension	csv-to-table	synthetic/shape_3x4_m0.hwp	0	3	4	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_3x4_m0-row_long_1	dimension	csv-to-table	synthetic/shape_3x4_m0.hwp	0	3	4	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_3x4_m0-row_short_1	dimension	csv-to-table	synthetic/shape_3x4_m0.hwp	0	3	4	dry-run	2	False	allowed	rowCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
D-shape_3x4_m0-unclosed-quote	dimension	csv-to-table	synthetic/shape_3x4_m0.hwp	0	3	4	dry-run	2	False	allowed	csvParse	0	0	CSV 라이브러리로 재생성
D-shape_5x5_m0-both_short	dimension	csv-to-table	synthetic/shape_5x5_m0.hwp	0	5	5	dry-run	2	False	allowed	rowCountMismatch,colCountMismatch,colCountMismatch,colCountMismatch,colCountMismatch	0	0	뽑은 CSV 를 표 치수에 맞춰 재생성
